Table,Column,Position,Oracle_Data_Type,SQL_Server_Data_Type,GridName,GridID
R5ORGTABCOLUMNS,OTC_TABLE,1,VARCHAR2(30),nvarchar(30),,
R5ORGTABCOLUMNS,OTC_COLUMN,2,VARCHAR2(30),nvarchar(30),,
R5ORGYEARS,OYE_PK,1,NUMBER,int,,
R5ORIGINATORS,ORI_CODE,1,VARCHAR2(24),nvarchar(24),,
R5ORLREVISIONS,OLR_ORDER,1,VARCHAR2(30),nvarchar(30),,
R5ORLREVISIONS,OLR_ORDER_ORG,2,VARCHAR2(15),nvarchar(15),,
R5ORLREVISIONS,OLR_REVISION,3,"NUMBER(4,0)","numeric(4,0)",,
R5ORLREVISIONS,OLR_ORDLINE,4,"NUMBER(8,0)","numeric(8,0)",,
R5OXCOPY,OXC_SESSION,1,VARCHAR2(30),nvarchar(30),,
R5OXCOPY,OXC_OLDOBJ,2,VARCHAR2(30),nvarchar(30),,
R5OXCOPY,OXC_OLDOBJORG,3,VARCHAR2(15),nvarchar(15),,
R5PACKAGE,PKG_CODE,1,VARCHAR2(30),nvarchar(30),,
R5PACKAGELINES,PKL_PACKAGE,1,VARCHAR2(30),nvarchar(30),,
R5PACKAGELINES,PKL_HELDITEM,2,VARCHAR2(30),nvarchar(30),,
R5PACKINGSLIP,PSL_DOCK,1,VARCHAR2(30),nvarchar(30),,
R5PACKINGSLIP,PSL_LINE,2,"NUMBER(8,0)","numeric(8,0)",,
R5PARTCONDITIONTEMPLATE,PCT_CODE,1,VARCHAR2(30),nvarchar(30),,
R5PARTCONDITIONTEMPLATE,PCT_ORG,2,VARCHAR2(15),nvarchar(15),,
R5PARTCTPLCONDITIONS,PTC_TEMPLATE,1,VARCHAR2(30),nvarchar(30),,
R5PARTCTPLCONDITIONS,PTC_TEMPLATE_ORG,2,VARCHAR2(15),nvarchar(15),,
R5PARTCTPLCONDITIONS,PTC_CONDITION,3,VARCHAR2(20),nvarchar(20),,
R5PARTEVALUATIONLIST,PEL_EVALCODE,1,VARCHAR2(30),nvarchar(30),,
R5PARTEVALUATIONLIST,PEL_PART,2,VARCHAR2(30),nvarchar(30),,
R5PARTEVALUATIONLIST,PEL_PART_ORG,3,VARCHAR2(15),nvarchar(15),,
R5PARTEVALUATIONS,PEN_CODE,1,VARCHAR2(30),nvarchar(30),,
R5PARTFAILURES,PFA_CODE,1,VARCHAR2(30),nvarchar(30),,
R5PARTGHG,PGG_PART,1,VARCHAR2(30),nvarchar(30),,
R5PARTGHG,PGG_PART_ORG,2,VARCHAR2(15),nvarchar(15),,
R5PARTGHG,PGG_GHG,3,VARCHAR2(30),nvarchar(30),,
R5PARTNERDFSCATALOGS,PDC_PK,1,VARCHAR2(30),nvarchar(30),,
R5PARTNERINBOUND,PIB_PARTNER,1,VARCHAR2(128),nvarchar(128),,
R5PARTNERINBOUND,PIB_DOCUMENTTYPE,2,VARCHAR2(128),nvarchar(128),,
R5PARTNERS,PNR_CODE,1,VARCHAR2(128),nvarchar(128),,
R5PARTNERSUBSCRIPTIONS,PSB_PARTNER,1,VARCHAR2(128),nvarchar(128),,
R5PARTNERSUBSCRIPTIONS,PSB_EVENT,2,VARCHAR2(32),nvarchar(32),,
R5PARTNERSUBSCRIPTIONS,PSB_DOCUMENTTYPE,3,VARCHAR2(128),nvarchar(128),,
R5PARTNERUUIDREFERENCES,PUR_UUID,1,VARCHAR2(64),nvarchar(64),,
R5PARTPART,PAP_PARTA,1,VARCHAR2(30),nvarchar(30),,
