tkd_trans,tkd_promptdata1,legacy_part_number,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,38112,E04-92-0592-960,PART,PART,*,*,3694#BCRTC,+,+
LDOC,38113,E04-92-0592-975,PART,PART,*,*,3696#BCRTC,+,+
LDOC,38114,E04-92-0592-977,PART,PART,*,*,3697#BCRTC,+,+
LDOC,38115,E04-92-0592-978,PART,PART,*,*,3698#BCRTC,+,+
LDOC,38116,E04-92-0592-979,PART,PART,*,*,6237#BCRTC,+,+
LDOC,38117,E04-92-4057-600,PART,PART,*,*,3701#BCRTC,+,+
LDOC,38118,E04-92-4057-606,PART,PART,*,*,3702#BCRTC,+,+
LDOC,38119,E04-92-4057-611,PART,PART,*,*,3703#BCRTC,+,+
LDOC,38120,E04-93-0593-003,PART,PART,*,*,14044#BCRTC,+,+
LDOC,38121,E04-95-0595-001,PART,PART,*,*,6834#BCRTC,+,+
LDOC,38122,E04-95-0595-005,PART,PART,*,*,9101#BCRTC,+,+
LDOC,38123,E04-95-0595-007,PART,PART,*,*,9390#BCRTC,+,+
LDOC,38124,E04-95-0595-020,PART,PART,*,*,6686#BCRTC,+,+
LDOC,38125,E04-95-0595-027,PART,PART,*,*,6689#BCRTC,+,+
LDOC,38126,E04-95-0595-035,PART,PART,*,*,6690#BCRTC,+,+
LDOC,38127,E04-95-0595-050,PART,PART,*,*,6663#BCRTC,+,+
LDOC,38128,E04-95-0595-051,PART,PART,*,*,6678#BCRTC,+,+
LDOC,38129,E04-95-0595-052,PART,PART,*,*,6679#BCRTC,+,+
LDOC,38130,E04-95-0595-053,PART,PART,*,*,6680#BCRTC,+,+
LDOC,38131,E04-95-0595-054,PART,PART,*,*,6664#BCRTC,+,+
LDOC,38132,E04-95-0595-055,PART,PART,*,*,6665#BCRTC,+,+
LDOC,38133,E04-95-0595-056,PART,PART,*,*,6666#BCRTC,+,+
LDOC,38134,E04-95-0595-057,PART,PART,*,*,6681#BCRTC,+,+
LDOC,38135,E04-95-0595-058,PART,PART,*,*,6682#BCRTC,+,+
LDOC,38136,E04-95-0595-059,PART,PART,*,*,6667#BCRTC,+,+
LDOC,38137,E04-95-0595-060,PART,PART,*,*,6683#BCRTC,+,+
LDOC,38138,E04-95-0595-061,PART,PART,*,*,6684#BCRTC,+,+
LDOC,38139,E04-95-0595-062,PART,PART,*,*,6685#BCRTC,+,+
LDOC,38140,E04-95-0595-242,PART,PART,*,*,6655#BCRTC,+,+
LDOC,38141,E04-95-0595-245,PART,PART,*,*,6652#BCRTC,+,+
LDOC,38142,E04-95-0595-250,PART,PART,*,*,6674#BCRTC,+,+
LDOC,38143,E04-95-0595-251,PART,PART,*,*,6675#BCRTC,+,+
LDOC,38144,E04-95-0595-252,PART,PART,*,*,6696#BCRTC,+,+
LDOC,38145,E04-95-0595-253,PART,PART,*,*,6676#BCRTC,+,+
LDOC,38146,E04-95-0595-300,PART,PART,*,*,6668#BCRTC,+,+
LDOC,38147,E04-95-0595-302,PART,PART,*,*,6695#BCRTC,+,+
LDOC,38148,E04-95-0595-304,PART,PART,*,*,6673#BCRTC,+,+
LDOC,38149,E04-95-0595-368,PART,PART,*,*,7238#BCRTC,+,+
LDOC,38150,E04-95-0595-369,PART,PART,*,*,9023#BCRTC,+,+
LDOC,38151,E04-95-0595-370,PART,PART,*,*,8824#BCRTC,+,+
LDOC,38152,E04-95-0595-372,PART,PART,*,*,8822#BCRTC,+,+
LDOC,38153,E04-95-0595-373,PART,PART,*,*,8823#BCRTC,+,+
LDOC,38154,E04-95-0595-374,PART,PART,*,*,9020#BCRTC,+,+
LDOC,38155,E04-95-0595-375,PART,PART,*,*,9019#BCRTC,+,+
LDOC,38156,E04-95-0595-376,PART,PART,*,*,9022#BCRTC,+,+
LDOC,38157,E04-95-0595-377,PART,PART,*,*,9018#BCRTC,+,+
LDOC,38158,E04-95-0595-378,PART,PART,*,*,9024#BCRTC,+,+
LDOC,38159,F00-06-0606-115,PART,PART,*,*,3704#BCRTC,+,+
LDOC,38160,F00-10-0610-001,PART,PART,*,*,9684#BCRTC,+,+
LDOC,38161,F00-10-0610-002,PART,PART,*,*,10580#BCRTC,+,+
LDOC,38162,F00-10-0610-317,PART,PART,*,*,3705#BCRTC,+,+
LDOC,38163,F00-16-0616-310,PART,PART,*,*,3712#BCRTC,+,+
LDOC,38164,F00-16-0616-330,PART,PART,*,*,3714#BCRTC,+,+
LDOC,38165,F00-16-0616-350,PART,PART,*,*,3716#BCRTC,+,+
LDOC,38166,F00-16-0616-376,PART,PART,*,*,3720#BCRTC,+,+
LDOC,38167,F00-16-0616-380,PART,PART,*,*,6275#BCRTC,+,+
LDOC,38168,F00-16-0616-520,PART,PART,*,*,3730#BCRTC,+,+
LDOC,38169,F00-16-0616-530,PART,PART,*,*,3731#BCRTC,+,+
LDOC,38170,F00-16-0616-859,PART,PART,*,*,3736#BCRTC,+,+
LDOC,38171,F00-16-0616-860,PART,PART,*,*,3737#BCRTC,+,+
LDOC,38172,F00-16-2850-200,PART,PART,*,*,6276#BCRTC,+,+
LDOC,38173,F00-17-0617-050,PART,PART,*,*,3738#BCRTC,+,+
LDOC,38174,F00-17-0617-096,PART,PART,*,*,3739#BCRTC,+,+
LDOC,38175,F00-17-0617-100,PART,PART,*,*,3740#BCRTC,+,+
LDOC,38176,F00-17-0617-102,PART,PART,*,*,3741#BCRTC,+,+
LDOC,38177,F00-17-0617-104,PART,PART,*,*,3742#BCRTC,+,+
LDOC,38178,F00-30-0630-155,PART,PART,*,*,3749#BCRTC,+,+
LDOC,38179,F00-31-0631-200,PART,PART,*,*,3750#BCRTC,+,+
LDOC,38180,F00-32-0632-040,PART,PART,*,*,3751#BCRTC,+,+
LDOC,38181,F00-32-0632-060,PART,PART,*,*,3752#BCRTC,+,+
LDOC,38182,F00-32-0632-061,PART,PART,*,*,3753#BCRTC,+,+
LDOC,38183,F00-32-0632-062,PART,PART,*,*,3754#BCRTC,+,+
LDOC,38184,F00-32-0632-064,PART,PART,*,*,3756#BCRTC,+,+
LDOC,38186,F00-32-0632-070,PART,PART,*,*,3757#BCRTC,+,+
LDOC,38187,F00-32-0632-092,PART,PART,*,*,3758#BCRTC,+,+
LDOC,38188,F00-32-0632-100,PART,PART,*,*,3759#BCRTC,+,+
LDOC,38189,F00-32-0632-165,PART,PART,*,*,3761#BCRTC,+,+
LDOC,38190,F00-32-0632-174,PART,PART,*,*,3762#BCRTC,+,+
LDOC,38191,F00-32-0632-180,PART,PART,*,*,3763#BCRTC,+,+
LDOC,38192,F00-32-0632-202,PART,PART,*,*,3764#BCRTC,+,+
LDOC,38193,F00-32-0632-290,PART,PART,*,*,11045#BCRTC,+,+
LDOC,38194,F00-32-0632-310,PART,PART,*,*,3765#BCRTC,+,+
LDOC,38195,F00-32-0632-345,PART,PART,*,*,3766#BCRTC,+,+
LDOC,38196,F00-32-0632-350,PART,PART,*,*,3767#BCRTC,+,+
LDOC,38197,F00-32-0632-370,PART,PART,*,*,3768#BCRTC,+,+
LDOC,38198,F00-32-0632-405,PART,PART,*,*,3769#BCRTC,+,+
LDOC,38199,F00-32-0632-415,PART,PART,*,*,3770#BCRTC,+,+
LDOC,38200,F00-32-0632-425,PART,PART,*,*,3771#BCRTC,+,+
LDOC,38201,F00-32-0632-455,PART,PART,*,*,3772#BCRTC,+,+
LDOC,38202,F00-32-0632-456,PART,PART,*,*,3773#BCRTC,+,+
LDOC,38203,F00-32-0632-457,PART,PART,*,*,3774#BCRTC,+,+
LDOC,38204,F00-32-0632-465,PART,PART,*,*,3775#BCRTC,+,+
LDOC,38205,F00-32-0632-480,PART,PART,*,*,3776#BCRTC,+,+
LDOC,38206,F00-32-0632-505,PART,PART,*,*,3777#BCRTC,+,+
LDOC,38207,F00-32-0632-578,PART,PART,*,*,3778#BCRTC,+,+
LDOC,38208,F00-32-0632-579,PART,PART,*,*,3779#BCRTC,+,+
LDOC,38209,F00-32-0632-590,PART,PART,*,*,3781#BCRTC,+,+
LDOC,38210,F00-32-0632-630,PART,PART,*,*,3782#BCRTC,+,+
LDOC,38211,F00-32-0632-631,PART,PART,*,*,3783#BCRTC,+,+
LDOC,38212,F00-32-0632-670,PART,PART,*,*,3784#BCRTC,+,+
LDOC,38213,F00-32-0632-755,PART,PART,*,*,3785#BCRTC,+,+
LDOC,38214,F00-32-0632-760,PART,PART,*,*,3786#BCRTC,+,+
LDOC,38215,F00-32-0632-765,PART,PART,*,*,3787#BCRTC,+,+
LDOC,38216,F00-32-0632-767,PART,PART,*,*,3789#BCRTC,+,+
LDOC,38217,F00-32-0632-768,PART,PART,*,*,3790#BCRTC,+,+
LDOC,38218,F00-32-0632-769,PART,PART,*,*,3791#BCRTC,+,+
LDOC,38219,F00-32-0632-770,PART,PART,*,*,3792#BCRTC,+,+
LDOC,38220,F00-32-0632-810,PART,PART,*,*,3793#BCRTC,+,+
LDOC,38221,F00-32-0632-820,PART,PART,*,*,3794#BCRTC,+,+
LDOC,38222,F00-32-0632-825,PART,PART,*,*,3795#BCRTC,+,+
LDOC,38223,F00-32-0632-827,PART,PART,*,*,3796#BCRTC,+,+
LDOC,38224,F00-32-0632-828,PART,PART,*,*,3797#BCRTC,+,+
LDOC,38225,F00-32-0632-853,PART,PART,*,*,3800#BCRTC,+,+
LDOC,38226,F00-32-0632-858,PART,PART,*,*,3801#BCRTC,+,+
LDOC,38227,F00-32-0632-870,PART,PART,*,*,3802#BCRTC,+,+
LDOC,38228,F00-32-0632-960,PART,PART,*,*,3803#BCRTC,+,+
LDOC,38229,F00-32-0632-961,PART,PART,*,*,3804#BCRTC,+,+
LDOC,38230,F00-32-0632-962,PART,PART,*,*,3805#BCRTC,+,+
LDOC,38231,F00-34-0634-100,PART,PART,*,*,3808#BCRTC,+,+
LDOC,38232,F00-34-0634-101,PART,PART,*,*,3809#BCRTC,+,+
LDOC,38233,F00-34-0634-402,PART,PART,*,*,3810#BCRTC,+,+
LDOC,38234,F00-34-0634-535,PART,PART,*,*,3812#BCRTC,+,+
LDOC,38235,F00-34-0634-618,PART,PART,*,*,3816#BCRTC,+,+
LDOC,38236,F00-35-0635-065,PART,PART,*,*,3817#BCRTC,+,+
LDOC,38237,F00-35-0635-066,PART,PART,*,*,3818#BCRTC,+,+
LDOC,38238,F00-35-0635-067,PART,PART,*,*,3819#BCRTC,+,+
LDOC,38239,F00-35-0635-068,PART,PART,*,*,3820#BCRTC,+,+
LDOC,38240,F00-35-0635-069,PART,PART,*,*,3821#BCRTC,+,+
LDOC,38241,F00-35-0635-315,PART,PART,*,*,3823#BCRTC,+,+
LDOC,38242,F00-35-0635-316,PART,PART,*,*,3824#BCRTC,+,+
LDOC,38243,F00-35-0635-317,PART,PART,*,*,3825#BCRTC,+,+
LDOC,38244,F00-35-0635-400,PART,PART,*,*,3826#BCRTC,+,+
LDOC,38245,F00-35-0635-630,PART,PART,*,*,3827#BCRTC,+,+
LDOC,38246,F00-40-0640-001,PART,PART,*,*,10838#BCRTC,+,+
LDOC,38247,F00-40-0640-002,PART,PART,*,*,10892#BCRTC,+,+
LDOC,38248,F00-40-0640-005,PART,PART,*,*,15540#BCRTC,+,+
LDOC,38249,F00-40-0640-045,PART,PART,*,*,3828#BCRTC,+,+
LDOC,38250,F00-40-0640-065,PART,PART,*,*,3829#BCRTC,+,+
LDOC,38251,F00-40-0640-067,PART,PART,*,*,3830#BCRTC,+,+
LDOC,38252,F00-40-0640-110,PART,PART,*,*,3831#BCRTC,+,+
LDOC,38253,F00-40-0640-316,PART,PART,*,*,3832#BCRTC,+,+
LDOC,38254,F00-40-0640-317,PART,PART,*,*,3833#BCRTC,+,+
LDOC,38255,F00-40-0640-320,PART,PART,*,*,3834#BCRTC,+,+
LDOC,38256,F00-40-0640-322,PART,PART,*,*,3835#BCRTC,+,+
LDOC,38257,F00-40-0640-400,PART,PART,*,*,3836#BCRTC,+,+
LDOC,38258,F00-40-0640-500,PART,PART,*,*,3838#BCRTC,+,+
LDOC,38259,F00-40-0640-730,PART,PART,*,*,3839#BCRTC,+,+
LDOC,38260,F00-40-0640-965,PART,PART,*,*,3840#BCRTC,+,+
LDOC,38261,F00-41-0641-001,PART,PART,*,*,7058#BCRTC,+,+
LDOC,38262,F00-41-0641-002,PART,PART,*,*,7059#BCRTC,+,+
LDOC,38263,F00-41-0641-003,PART,PART,*,*,7060#BCRTC,+,+
LDOC,38264,F00-42-0642-001,PART,PART,*,*,9785#BCRTC,+,+
LDOC,38265,F00-57-0657-002,PART,PART,*,*,7062#BCRTC,+,+
LDOC,38266,F00-57-0657-003,PART,PART,*,*,7113#BCRTC,+,+
LDOC,38267,F00-57-0657-004,PART,PART,*,*,7118#BCRTC,+,+
LDOC,38268,F00-57-0657-005,PART,PART,*,*,7114#BCRTC,+,+
LDOC,38269,F00-57-0657-006,PART,PART,*,*,7121#BCRTC,+,+
LDOC,38270,F00-58-0658-530,PART,PART,*,*,3842#BCRTC,+,+
LDOC,38271,F00-58-3733-200,PART,PART,*,*,3843#BCRTC,+,+
LDOC,38272,G07-87-0787-002,PART,PART,*,*,11053#BCRTC,+,+
