tkd_trans,tkd_promptdata1,legacy_part_number,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,37859,C00-03-0303-078,PART,PART,*,*,15633#BCRTC,+,+
LDOC,37860,C00-03-0303-079,PART,PART,*,*,15634#BCRTC,+,+
LDOC,37861,C00-03-0303-080,PART,PART,*,*,15635#BCRTC,+,+
LDOC,37862,C00-03-0303-081,PART,PART,*,*,15636#BCRTC,+,+
LDOC,37863,C00-03-0303-082,PART,PART,*,*,15637#BCRTC,+,+
LDOC,37864,C00-03-0303-083,PART,PART,*,*,15638#BCRTC,+,+
LDOC,37865,C00-03-0303-084,PART,PART,*,*,15639#BCRTC,+,+
LDOC,37866,C00-03-0303-085,PART,PART,*,*,15640#BCRTC,+,+
LDOC,37867,C00-03-0303-086,PART,PART,*,*,15641#BCRTC,+,+
LDOC,37868,C00-03-0303-087,PART,PART,*,*,15642#BCRTC,+,+
LDOC,37869,C00-03-0303-088,PART,PART,*,*,15643#BCRTC,+,+
LDOC,37870,E04-90-0590-001,PART,PART,*,*,9330#BCRTC,+,+
LDOC,37871,E04-90-0590-002,PART,PART,*,*,9389#BCRTC,+,+
LDOC,37872,E04-90-0590-003,PART,PART,*,*,9636#BCRTC,+,+
LDOC,37873,E04-90-0590-004,PART,PART,*,*,10325#BCRTC,+,+
LDOC,37874,E04-90-0590-005,PART,PART,*,*,10775#BCRTC,+,+
LDOC,37875,E04-90-0590-007,PART,PART,*,*,11833#BCRTC,+,+
LDOC,37876,E04-90-0590-008,PART,PART,*,*,12035#BCRTC,+,+
LDOC,37877,E04-90-0590-009,PART,PART,*,*,12034#BCRTC,+,+
LDOC,37878,E04-90-0590-010,PART,PART,*,*,12022#BCRTC,+,+
LDOC,37879,E04-90-0590-012,PART,PART,*,*,12317#BCRTC,+,+
LDOC,37880,E04-90-0590-013,PART,PART,*,*,12459#BCRTC,+,+
LDOC,37881,E04-90-0590-015,PART,PART,*,*,13927#BCRTC,+,+
LDOC,37882,E04-90-0590-016,PART,PART,*,*,13928#BCRTC,+,+
LDOC,37883,E04-90-0590-017,PART,PART,*,*,13966#BCRTC,+,+
LDOC,37884,E04-90-0590-018,PART,PART,*,*,14020#BCRTC,+,+
LDOC,37885,E04-90-0590-021,PART,PART,*,*,14268#BCRTC,+,+
LDOC,37886,E04-90-0590-022,PART,PART,*,*,14429#BCRTC,+,+
LDOC,37887,E04-90-0590-023,PART,PART,*,*,14495#BCRTC,+,+
LDOC,37888,E04-90-0590-024,PART,PART,*,*,14556#BCRTC,+,+
LDOC,37889,E04-90-0590-025,PART,PART,*,*,14645#BCRTC,+,+
LDOC,37890,E04-90-0590-026,PART,PART,*,*,14646#BCRTC,+,+
LDOC,37891,E04-90-0590-027,PART,PART,*,*,14765#BCRTC,+,+
LDOC,37892,E04-90-0590-028,PART,PART,*,*,14768#BCRTC,+,+
LDOC,37893,E04-90-0590-070,PART,PART,*,*,3599#BCRTC,+,+
LDOC,37894,E04-90-0590-072,PART,PART,*,*,3600#BCRTC,+,+
LDOC,37895,E04-90-0590-085,PART,PART,*,*,3601#BCRTC,+,+
LDOC,37896,E04-90-0590-097,PART,PART,*,*,6252#BCRTC,+,+
LDOC,37897,E04-90-0590-098,PART,PART,*,*,6253#BCRTC,+,+
LDOC,37898,E04-90-0590-099,PART,PART,*,*,6254#BCRTC,+,+
LDOC,37899,E04-90-0590-100,PART,PART,*,*,6658#BCRTC,+,+
LDOC,37900,E04-90-0590-110,PART,PART,*,*,3605#BCRTC,+,+
LDOC,37901,E04-90-0590-140,PART,PART,*,*,3607#BCRTC,+,+
LDOC,37902,E04-90-0590-150,PART,PART,*,*,3608#BCRTC,+,+
LDOC,37903,E04-90-0590-165,PART,PART,*,*,3609#BCRTC,+,+
LDOC,37904,E04-90-0590-170,PART,PART,*,*,3610#BCRTC,+,+
LDOC,37905,E04-90-0590-172,PART,PART,*,*,3611#BCRTC,+,+
LDOC,37906,E04-90-0590-350,PART,PART,*,*,3613#BCRTC,+,+
LDOC,37907,E04-90-0590-400,PART,PART,*,*,3617#BCRTC,+,+
