tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,33477,PART,PART,*,*,14020#BCRTC,+,+
LDOC,33478,PART,PART,*,*,14268#BCRTC,+,+
LDOC,33479,PART,PART,*,*,14429#BCRTC,+,+
LDOC,33480,PART,PART,*,*,14495#BCRTC,+,+
LDOC,33481,PART,PART,*,*,14556#BCRTC,+,+
LDOC,33482,PART,PART,*,*,14645#BCRTC,+,+
LDOC,33483,PART,PART,*,*,14646#BCRTC,+,+
LDOC,33484,PART,PART,*,*,14765#BCRTC,+,+
LDOC,33485,PART,PART,*,*,14768#BCRTC,+,+
LDOC,33486,PART,PART,*,*,3599#BCRTC,+,+
LDOC,33487,PART,PART,*,*,3600#BCRTC,+,+
LDOC,33488,PART,PART,*,*,3601#BCRTC,+,+
LDOC,33489,PART,PART,*,*,6252#BCRTC,+,+
LDOC,33490,PART,PART,*,*,6253#BCRTC,+,+
LDOC,33491,PART,PART,*,*,6254#BCRTC,+,+
LDOC,33492,PART,PART,*,*,6658#BCRTC,+,+
LDOC,33493,PART,PART,*,*,3605#BCRTC,+,+
LDOC,33494,PART,PART,*,*,3607#BCRTC,+,+
LDOC,33495,PART,PART,*,*,3608#BCRTC,+,+
LDOC,33496,PART,PART,*,*,3609#BCRTC,+,+
LDOC,33497,PART,PART,*,*,3610#BCRTC,+,+
LDOC,33498,PART,PART,*,*,3611#BCRTC,+,+
LDOC,33499,PART,PART,*,*,3613#BCRTC,+,+
LDOC,33500,PART,PART,*,*,3617#BCRTC,+,+
LDOC,33501,PART,PART,*,*,3618#BCRTC,+,+
LDOC,33502,PART,PART,*,*,3619#BCRTC,+,+
LDOC,33503,PART,PART,*,*,3623#BCRTC,+,+
LDOC,33504,PART,PART,*,*,3624#BCRTC,+,+
LDOC,33505,PART,PART,*,*,3626#BCRTC,+,+
LDOC,33506,PART,PART,*,*,3628#BCRTC,+,+
LDOC,33507,PART,PART,*,*,3629#BCRTC,+,+
LDOC,33508,PART,PART,*,*,3630#BCRTC,+,+
LDOC,33509,PART,PART,*,*,3631#BCRTC,+,+
LDOC,33510,PART,PART,*,*,6499#BCRTC,+,+
LDOC,33511,PART,PART,*,*,3634#BCRTC,+,+
LDOC,33512,PART,PART,*,*,3635#BCRTC,+,+
LDOC,33513,PART,PART,*,*,3636#BCRTC,+,+
LDOC,33514,PART,PART,*,*,3637#BCRTC,+,+
LDOC,33515,PART,PART,*,*,3638#BCRTC,+,+
LDOC,33516,PART,PART,*,*,3639#BCRTC,+,+
LDOC,33517,PART,PART,*,*,3640#BCRTC,+,+
LDOC,33518,PART,PART,*,*,3641#BCRTC,+,+
LDOC,33519,PART,PART,*,*,6776#BCRTC,+,+
LDOC,33520,PART,PART,*,*,3642#BCRTC,+,+
LDOC,33521,PART,PART,*,*,3643#BCRTC,+,+
LDOC,33522,PART,PART,*,*,3644#BCRTC,+,+
LDOC,33523,PART,PART,*,*,3645#BCRTC,+,+
LDOC,33524,PART,PART,*,*,3646#BCRTC,+,+
LDOC,33525,PART,PART,*,*,3647#BCRTC,+,+
LDOC,33526,PART,PART,*,*,3649#BCRTC,+,+
LDOC,33527,PART,PART,*,*,11998#BCRTC,+,+
LDOC,33528,PART,PART,*,*,11999#BCRTC,+,+
LDOC,33529,PART,PART,*,*,12000#BCRTC,+,+
LDOC,33530,PART,PART,*,*,12001#BCRTC,+,+
LDOC,33531,PART,PART,*,*,12002#BCRTC,+,+
LDOC,33532,PART,PART,*,*,12003#BCRTC,+,+
LDOC,33533,PART,PART,*,*,12004#BCRTC,+,+
LDOC,33534,PART,PART,*,*,12005#BCRTC,+,+
LDOC,33535,PART,PART,*,*,12006#BCRTC,+,+
LDOC,33536,PART,PART,*,*,11993#BCRTC,+,+
LDOC,33537,PART,PART,*,*,11994#BCRTC,+,+
LDOC,33538,PART,PART,*,*,11995#BCRTC,+,+
LDOC,33539,PART,PART,*,*,11996#BCRTC,+,+
LDOC,33540,PART,PART,*,*,11997#BCRTC,+,+
LDOC,33541,PART,PART,*,*,11992#BCRTC,+,+
LDOC,33542,PART,PART,*,*,12007#BCRTC,+,+
LDOC,33543,PART,PART,*,*,12008#BCRTC,+,+
LDOC,33544,PART,PART,*,*,12009#BCRTC,+,+
LDOC,33545,PART,PART,*,*,12010#BCRTC,+,+
