msds,partNumber,Original_FileName,legacy_part_number,Document,desc,tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
0040,25345,msds0040_202305031559.pdf,M43-17-0000-105,33951," ADHESIVE",LDOC,,PART,PART,*,*,25345#BCRTC,+,+
0041,5258,msds0041_202305031614.pdf,M40-57-0000-008,33974," GREASE, MOLYKOTE CRTG",LDOC,,PART,PART,*,*,5258#BCRTC,+,+
0042,5974,msds0042_202305031624.pdf,M52-02-0000-042,34016," ABSORBANT, FLOOR DRY",LDOC,,PART,PART,*,*,5974#BCRTC,+,+
0043,20237,msds0043_202305031624.pdf,M40-85-0000-061,34028,"DEFOAMER, DEPRESS PLUS",LDOC,,PART,PART,*,*,20237#BCRTC,+,+
0046,14231,msds0046_202305022237.pdf,M43-17-0000-073,33790," FLUID, ALUM TAPPING",LDOC,,PART,PART,*,*,14231#BCRTC,+,+
0047,5884,msds0047_202305031614.pdf,M40-57-0000-044,33998," LUBRICANT, 6 IN 1",LDOC,,PART,PART,*,*,5884#BCRTC,+,+
0048,5309,msds0048_202305031614.pdf,M43-17-0000-063,33978," ADHESIVE, 2 TON EPOXY",LDOC,,PART,PART,*,*,5309#BCRTC,+,+
0049,5914,msds0049_202305031559.pdf,M43-17-0000-027,33949," ADHESIVE, 5-MIN EPOXY",LDOC,,PART,PART,*,*,5914#BCRTC,+,+
0052,5308,msds0052_202305031559.pdf,M43-17-0000-062,33925," ADHESIVE, STICK'N SEAL E",LDOC,,PART,PART,*,*,5308#BCRTC,+,+
0053,1545,msds0053_202305022237.pdf,A11-04-1862-849,33792," THINNER, LACQUER 4L",LDOC,,PART,PART,*,*,1545#BCRTC,+,+
0054,7010,msds0054_202305031559.pdf,M43-17-0000-057,33938," PASTE, METAL",LDOC,,PART,PART,*,*,7010#BCRTC,+,+
0055,5838,msds0055_202305031614.pdf,M28-44-0000-040,33972," DUCTSEAL, PUTTY FILL 1#",LDOC,,PART,PART,*,*,5838#BCRTC,+,+
0056,24065,msds0056_202305031614.pdf,C00-42-0342-042,33989," LUBRICANT, ISO 68 SWITCH",LDOC,,PART,PART,*,*,24065#BCRTC,+,+
0057,5337,msds0057_202305031624.pdf,M18-64-0000-009,34014," COATING, GC SILICONE",LDOC,,PART,PART,*,*,5337#BCRTC,+,+
0058,17907,msds0058_202305031624.pdf,M40-57-0000-061,34018," GREASE, AUTOL TOP 2000 .",LDOC,,PART,PART,*,*,17907#BCRTC,+,+
0060,212,msds0060_202305031559.pdf,A04-08-4070-481,33911," LUBRICANT, SILICONE SPRA",LDOC,,PART,PART,*,*,212#BCRTC,+,+
0061,5313,msds0061_202305031614.PDF,M43-17-0000-067,33968," PUTTY, ALUMINUM LOCTITE",LDOC,,PART,PART,*,*,5313#BCRTC,+,+
0064,4886,msds0064_202305031614.pdf,M18-62-0000-019,33982," PAINT, SPRAY GALVANIZE",LDOC,,PART,PART,*,*,4886#BCRTC,+,+
0065,5880,msds0065_202305031624.pdf,M43-17-0000-018,34034," COMPOUND CUTTING/TAPPING",LDOC,,PART,PART,*,*,5880#BCRTC,+,+
0066,5614,msds0066_202305031624.pdf,M18-62-0000-003,34020," PAINT, SPRAY BLACK",LDOC,,PART,PART,*,*,5614#BCRTC,+,+
0066,5615,msds0066_202305031624.pdf,M18-62-0000-004,34020," PAINT, SPRAY BLUE",LDOC,,PART,PART,*,*,5615#BCRTC,+,+
0066,5616,msds0066_202305031624.pdf,M18-62-0000-005,34020," PAINT, SPRAY BROWN",LDOC,,PART,PART,*,*,5616#BCRTC,+,+
0066,5617,msds0066_202305031624.pdf,M18-62-0000-006,34020," PAINT, SPRAY GREEN",LDOC,,PART,PART,*,*,5617#BCRTC,+,+
0066,5618,msds0066_202305031624.pdf,M18-62-0000-007,34020," PAINT, SPRAY RED",LDOC,,PART,PART,*,*,5618#BCRTC,+,+
0066,5619,msds0066_202305031624.pdf,M18-62-0000-008,34020," PAINT, SPRAY WHITE GLOSS",LDOC,,PART,PART,*,*,5619#BCRTC,+,+
0066,5620,msds0066_202305031624.pdf,M18-62-0000-009,34020," PAINT, SPRAY YELLOW",LDOC,,PART,PART,*,*,5620#BCRTC,+,+
0067,23316,msds0067_202305031559.pdf,M40-85-0000-078,33918," CLEANER, HVAC EVAPORATOR",LDOC,,PART,PART,*,*,23316#BCRTC,+,+
0068,23314,msds0068_202305022237.pdf,M43-17-0000-095,33801," SEALANT, LOCTITE 548 GAS",LDOC,,PART,PART,*,*,23314#BCRTC,+,+
0070,24239,msds0070_202305022237.pdf,M43-17-0000-097,33795," ARMOURCAST, STRUCTURAL M",LDOC,,PART,PART,*,*,24239#BCRTC,+,+
0071,10332,msds0071_202305031624.pdf,C00-03-0303-043,34025," OIL, QUINTOLUBRIC",LDOC,,PART,PART,*,*,10332#BCRTC,+,+
