msds,partNumber,Original_FileName,desc,legacy_part_number,Document,,tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
0034,5251,msds0034_202306162022.pdf," COATING, ACRYLIC SPRAY",M18-64-0000-005,33822,LDOC,,PART,PART,*,*,5251#BCRTC,+,+
0035,5329,msds0035_202306162022.pdf," SEALANT, CARTRIDGE",M43-17-0000-034,33823,LDOC,,PART,PART,*,*,5329#BCRTC,+,+
0037,5287,msds0037_202306162022.pdf," CLEANER, LPS ELECTRONIC",M40-85-0000-019,33826,LDOC,,PART,PART,*,*,5287#BCRTC,+,+
0038,18510,msds0038_202306162022.pdf," GREASE, NO-OX-ID BATTERY",M40-57-0000-062,33827,LDOC,,PART,PART,*,*,18510#BCRTC,+,+
0040,5916,msds0040_202306162022.pdf," ADHESIVE",M43-17-0000-029,33830,LDOC,,PART,PART,*,*,5916#BCRTC,+,+
0040,25345,msds0040_202306162022.pdf," ADHESIVE",M43-17-0000-105,33830,LDOC,,PART,PART,*,*,25345#BCRTC,+,+
0041,5258,msds0041_202306162022.pdf," GREASE, MOLYKOTE CRTG",M40-57-0000-008,33831,LDOC,,PART,PART,*,*,5258#BCRTC,+,+
0042,5974,msds0042_202306162025.pdf," ABSORBANT, FLOOR DRY",M52-02-0000-042,33832,LDOC,,PART,PART,*,*,5974#BCRTC,+,+
0043,20237,msds0043_202306162025.pdf,"DEFOAMER, DEPRESS PLUS",M40-85-0000-061,33833,LDOC,,PART,PART,*,*,20237#BCRTC,+,+
0046,14231,msds0046_202306162025.pdf," FLUID, ALUM TAPPING",M43-17-0000-073,33836,LDOC,,PART,PART,*,*,14231#BCRTC,+,+
0047,5884,msds0047_202306162025.pdf," LUBRICANT, 6 IN 1",M40-57-0000-044,33837,LDOC,,PART,PART,*,*,5884#BCRTC,+,+
0048,5309,msds0048_202306162025.pdf," ADHESIVE, 2 TON EPOXY",M43-17-0000-063,33838,LDOC,,PART,PART,*,*,5309#BCRTC,+,+
0049,5914,msds0049_202306162025.pdf," ADHESIVE, 5-MIN EPOXY",M43-17-0000-027,33840,LDOC,,PART,PART,*,*,5914#BCRTC,+,+
0052,5308,msds0052_202306162025.pdf," ADHESIVE, STICK'N SEAL E",M43-17-0000-062,33842,LDOC,,PART,PART,*,*,5308#BCRTC,+,+
0053,1545,msds0053_202306162025.pdf," THINNER, LACQUER 4L",A11-04-1862-849,33843,LDOC,,PART,PART,*,*,1545#BCRTC,+,+
0054,7010,msds0054_202306162025.pdf," PASTE, METAL",M43-17-0000-057,33844,LDOC,,PART,PART,*,*,7010#BCRTC,+,+
0055,5838,msds0055_202306162025.pdf," DUCTSEAL, PUTTY FILL 1#",M28-44-0000-040,33845,LDOC,,PART,PART,*,*,5838#BCRTC,+,+
0056,24065,msds0056_202306162025.pdf," LUBRICANT, ISO 68 SWITCH",C00-42-0342-042,33847,LDOC,,PART,PART,*,*,24065#BCRTC,+,+
0057,5337,msds0057_202306162025.pdf," COATING, GC SILICONE",M18-64-0000-009,33848,LDOC,,PART,PART,*,*,5337#BCRTC,+,+
0058,17907,msds0058_202306162025.pdf," GREASE, AUTOL TOP 2000 .",M40-57-0000-061,33849,LDOC,,PART,PART,*,*,17907#BCRTC,+,+
0059,5872,msds0059_202306162025.pdf," DRESSING, BELT",M43-17-0000-014,33850,LDOC,,PART,PART,*,*,5872#BCRTC,+,+
0060,212,msds0060_202306162025.pdf," LUBRICANT, SILICONE SPRA",A04-08-4070-481,33851,LDOC,,PART,PART,*,*,212#BCRTC,+,+
0061,5313,msds0061_202306162025.PDF," PUTTY, ALUMINUM LOCTITE",M43-17-0000-067,33852,LDOC,,PART,PART,*,*,5313#BCRTC,+,+
0062,5313,msds0062_202306162025.PDF," PUTTY, ALUMINUM LOCTITE",M43-17-0000-067,33853,LDOC,,PART,PART,*,*,5313#BCRTC,+,+
0064,4886,msds0064_202306162025.pdf," PAINT, SPRAY GALVANIZE",M18-62-0000-019,33855,LDOC,,PART,PART,*,*,4886#BCRTC,+,+
0065,5880,msds0065_202306162025.pdf," COMPOUND CUTTING/TAPPING",M43-17-0000-018,33856,LDOC,,PART,PART,*,*,5880#BCRTC,+,+
0066,5614,msds0066_202306162025.pdf," PAINT, SPRAY BLACK",M18-62-0000-003,33857,LDOC,,PART,PART,*,*,5614#BCRTC,+,+
0066,5615,msds0066_202306162025.pdf," PAINT, SPRAY BLUE",M18-62-0000-004,33857,LDOC,,PART,PART,*,*,5615#BCRTC,+,+
0066,5616,msds0066_202306162025.pdf," PAINT, SPRAY BROWN",M18-62-0000-005,33857,LDOC,,PART,PART,*,*,5616#BCRTC,+,+
0066,5617,msds0066_202306162025.pdf," PAINT, SPRAY GREEN",M18-62-0000-006,33857,LDOC,,PART,PART,*,*,5617#BCRTC,+,+
