tkd_trans,tkd_promptdata1,tkd_promptdata2,tkd_promptdata3,tkd_promptdata4,tkd_promptdata5,tkd_promptdata6,tkd_promptdata7,tkd_promptdata8
LDOC,32945,PART,PART,*,*,21032#BCRTC,+,+
LDOC,32946,PART,PART,*,*,4889#BCRTC,+,+
LDOC,32947,PART,PART,*,*,20534#BCRTC,+,+
LDOC,32948,PART,PART,*,*,20535#BCRTC,+,+
LDOC,32949,PART,PART,*,*,20536#BCRTC,+,+
LDOC,32952,PART,PART,*,*,5338#BCRTC,+,+
LDOC,32953,PART,PART,*,*,5338#BCRTC,+,+
LDOC,32954,PART,PART,*,*,5338#BCRTC,+,+
LDOC,32955,PART,PART,*,*,2613#BCRTC,+,+
LDOC,32956,PART,PART,*,*,2613#BCRTC,+,+
LDOC,32957,PART,PART,*,*,12409#BCRTC,+,+
LDOC,32958,PART,PART,*,*,31362#BCRTC,+,+
LDOC,32960,PART,PART,*,*,20943#BCRTC,+,+
LDOC,32962,PART,PART,*,*,5334#BCRTC,+,+
LDOC,32963,PART,PART,*,*,12505#BCRTC,+,+
LDOC,32964,PART,PART,*,*,21191#BCRTC,+,+
LDOC,32965,PART,PART,*,*,24388#BCRTC,+,+
LDOC,32966,PART,PART,*,*,21201#BCRTC,+,+
LDOC,32967,PART,PART,*,*,18654#BCRTC,+,+
LDOC,32971,PART,PART,*,*,5286#BCRTC,+,+
LDOC,32973,PART,PART,*,*,5243#BCRTC,+,+
LDOC,32976,PART,PART,*,*,7100#BCRTC,+,+
LDOC,32977,PART,PART,*,*,7168#BCRTC,+,+
LDOC,32978,PART,PART,*,*,13496#BCRTC,+,+
LDOC,32979,PART,PART,*,*,13521#BCRTC,+,+
LDOC,32980,PART,PART,*,*,22780#BCRTC,+,+
LDOC,32981,PART,PART,*,*,5278#BCRTC,+,+
LDOC,32982,PART,PART,*,*,10030#BCRTC,+,+
LDOC,32983,PART,PART,*,*,23894#BCRTC,+,+
LDOC,32984,PART,PART,*,*,9012#BCRTC,+,+
LDOC,32985,PART,PART,*,*,5171#BCRTC,+,+
LDOC,32987,PART,PART,*,*,14169#BCRTC,+,+
LDOC,32988,PART,PART,*,*,13876#BCRTC,+,+
LDOC,32989,PART,PART,*,*,25255#BCRTC,+,+
LDOC,32990,PART,PART,*,*,25270#BCRTC,+,+
LDOC,32991,PART,PART,*,*,19576#BCRTC,+,+
LDOC,32993,PART,PART,*,*,19576#BCRTC,+,+
LDOC,32997,PART,PART,*,*,5239#BCRTC,+,+
LDOC,32997,PART,PART,*,*,5240#BCRTC,+,+
LDOC,33000,PART,PART,*,*,5153#BCRTC,+,+
LDOC,33002,PART,PART,*,*,5253#BCRTC,+,+
LDOC,33004,PART,PART,*,*,6865#BCRTC,+,+
LDOC,33005,PART,PART,*,*,14516#BCRTC,+,+
LDOC,33006,PART,PART,*,*,9667#BCRTC,+,+
LDOC,33007,PART,PART,*,*,24532#BCRTC,+,+
LDOC,33008,PART,PART,*,*,5272#BCRTC,+,+
LDOC,33010,PART,PART,*,*,5269#BCRTC,+,+
LDOC,33011,PART,PART,*,*,8944#BCRTC,+,+
LDOC,33012,PART,PART,*,*,21742#BCRTC,+,+
LDOC,33013,PART,PART,*,*,25666#BCRTC,+,+
LDOC,33014,PART,PART,*,*,25532#BCRTC,+,+
LDOC,33016,PART,PART,*,*,5281#BCRTC,+,+
LDOC,33017,PART,PART,*,*,24961#BCRTC,+,+
LDOC,33018,PART,PART,*,*,12331#BCRTC,+,+
LDOC,33020,PART,PART,*,*,21159#BCRTC,+,+
LDOC,33021,PART,PART,*,*,3702#BCRTC,+,+
LDOC,33022,PART,PART,*,*,23903#BCRTC,+,+
LDOC,33023,PART,PART,*,*,5622#BCRTC,+,+
LDOC,33025,PART,PART,*,*,21160#BCRTC,+,+
LDOC,33026,PART,PART,*,*,21160#BCRTC,+,+
LDOC,33028,PART,PART,*,*,21974#BCRTC,+,+
LDOC,33029,PART,PART,*,*,5920#BCRTC,+,+
LDOC,33033,PART,PART,*,*,8889#BCRTC,+,+
LDOC,33034,PART,PART,*,*,5882#BCRTC,+,+
LDOC,33037,PART,PART,*,*,10494#BCRTC,+,+
LDOC,33038,PART,PART,*,*,13609#BCRTC,+,+
LDOC,33039,PART,PART,*,*,23471#BCRTC,+,+
